script_id	status	timestamp
organizational-structure.update	E	20190218111650
organizational-structure.update_history	B	20190219095224
organizational-structure.update_history	E	20190219095232
magenta-office-calculator.update_organizational_structure	B	20190219101037
magenta-office-calculator.update_organizational_structure	E	20190219101039
magenta-office-calculator.update_simulation	B	20190307212123
magenta-office-calculator.update_simulation	E	20190307222206
magenta-office-calculator.update_organizational_structure	B	20190308093241
magenta-office-calculator.update_organizational_structure	E	20190308093245
magenta-office-calculator.update_organizational_structure	B	20190315105659
magenta-office-calculator.update_organizational_structure	E	20190315105703
magenta-office-calculator.update_organizational_structure	B	20190316205938
magenta-office-calculator.update_organizational_structure	E	20190316205941
magenta-office-calculator.update_organizational_structure	B	20190317122401
magenta-office-calculator.update_organizational_structure	E	20190317122403
organizational-structure.update	B	20190323215948
organizational-structure.update	E	20190323220156
organizational-structure.update_history	B	20190323220158
organizational-structure.update_history	E	20190323220204
organizational-structure.update	B	20190324194948
organizational-structure.update	E	20190324195324
organizational-structure.update_history	B	20190324195325
organizational-structure.update_history	E	20190324195335
organizational-structure.update_history	B	20190327124851
organizational-structure.update_history	E	20190327124858
magenta-office-calculator.update_organizational_structure	B	20190327125835
magenta-office-calculator.update_organizational_structure	E	20190327125837
organizational-structure.update	B	20190329143400
organizational-structure.update	E	20190329143740
organizational-structure.update_history	B	20190401100730
organizational-structure.update_history	E	20190401100741
magenta-office-calculator.update_organizational_structure	B	20190402133954
magenta-office-calculator.update_organizational_structure	E	20190402133956
organizational-structure.update	B	20190406130837
organizational-structure.update	E	20190406131103
organizational-structure.update_history	B	20190406131106
organizational-structure.update_history	E	20190406131113
magenta-office-calculator.update_organizational_structure	B	20190410132004
magenta-office-calculator.update_organizational_structure	E	20190410132006
organizational-structure.update	B	20190411124555
organizational-structure.update	E	20190411124754
organizational-structure.update_history	B	20190411124755
organizational-structure.update_history	E	20190411124801
organizational-structure.update	B	20190418110737
organizational-structure.update	E	20190418111014
organizational-structure.update_history	B	20190419121740
organizational-structure.update_history	E	20190419121747
magenta-office-calculator.update_organizational_structure	B	20190419121915
magenta-office-calculator.update_organizational_structure	E	20190419121917
organizational-structure.update	B	20190424125004
organizational-structure.update	E	20190424125317
organizational-structure.update	B	20190425115745
organizational-structure.update	E	20190425120042
magenta-office-calculator.update_organizational_structure	B	20190425121515
magenta-office-calculator.update_organizational_structure	E	20190425121519
organizational-structure.update_history	B	20190427124324
organizational-structure.update_history	E	20190427124331
magenta-office-calculator.update_organizational_structure	B	20190427124404
magenta-office-calculator.update_organizational_structure	E	20190427124407
organizational-structure.update	B	20190429124434
organizational-structure.update	E	20190429124659
organizational-structure.update_history	B	20190429124700
organizational-structure.update_history	E	20190429124707
organizational-structure.update	B	20190430134446
organizational-structure.update	E	20190430134813
organizational-structure.update	B	20190502133849
organizational-structure.update	E	20190502134120
organizational-structure.update	B	20190506121638
organizational-structure.update	E	20190506122011
magenta-office-calculator.update_organizational_structure	B	20190509123726
magenta-office-calculator.update_organizational_structure	E	20190509123728
organizational-structure.update	B	20190511120154
organizational-structure.update	E	20190511120453
magenta-office-calculator.update_organizational_structure	B	20190514122435
magenta-office-calculator.update_organizational_structure	E	20190514122439
organizational-structure.update	B	20190519181348
organizational-structure.update	E	20190519181810
organizational-structure.update_history	B	20190522120824
organizational-structure.update_history	E	20190522120831
organizational-structure.update	B	20190527124254
organizational-structure.update	E	20190527124522
organizational-structure.update_history	B	20190527124523
organizational-structure.update_history	E	20190527124529
magenta-office-calculator.update_organizational_structure	B	20190529130630
magenta-office-calculator.update_organizational_structure	E	20190529130635
organizational-structure.update_history	B	20190531124917
organizational-structure.update_history	E	20190531124924
organizational-structure.update_history	B	20190603141532
organizational-structure.update_history	E	20190603141541
magenta-office-calculator.update_organizational_structure	B	20190604134153
magenta-office-calculator.update_organizational_structure	E	20190604134155
magenta-office-calculator.update_organizational_structure	B	20190606123954
magenta-office-calculator.update_organizational_structure	E	20190606123957
organizational-structure.update	B	20190701132127
organizational-structure.update	E	20190701133128
organizational-structure.update	B	20190701133207
